Flow ID,Source IP,Destination IP,Timestamp,Traffic Period,Attack Family,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,SYN Flag Count,ACK Flag Count,Down/Up Ratio,Average Packet Size,Idle Mean,Active Mean,Label
synthetic-flow-00000020,10.42.4.21,172.18.4.30,2026-01-05 08:20:20,period-1,none,44949.400551467756,4,4,471.518144186,389.394397767,117.879536047,97.3485994418,19152.9259877,177.97790186,5618.67506893,2,2,1,107.614067744,19334.9014935,5452.29177833, BENIGN
synthetic-flow-00000021,10.42.5.22,172.18.5.31,2026-01-05 09:21:27,period-1,none,65395.36500322258,5,3,1320.45966809,313.609991018,264.091933617,104.536663673,24987.5455091,122.332828934,8174.4206254,0,1,0.6,204.258707388,26444.0099474,15298.557353,BENIGN
synthetic-flow-00000022,10.42.6.23,172.18.6.32,2026-01-05 10:22:34,period-1,none,59728.62970667982,17,11,3734.51034368,1695.76634379,219.67707904,154.160576708,90915.8089536,468.786914039,2133.16534667,1,5,0.647058823529,193.938453124,19024.3529333,14411.6576616,BENIGN
synthetic-flow-00000023,10.42.7.24,172.18.7.33,2026-01-05 11:23:41,period-1,none,220310.18676590317,7,2,2007.31596317,277.439604271,286.75942331,138.719802136,10370.630614,40.8514927617,24478.9096407,1,4,0.285714285714,253.861729716,111489.177943,17908.3623444,BENIGN
synthetic-flow-00000024,10.42.8.25,172.18.0.34,2026-01-05 12:24:48,period-1,none,30951.908215902888,16,3,1867.54927065,257.013669655,116.721829415,85.6712232183,68640.7741158,613.855529277,1629.04780084,1,2,0.1875,111.819102121,13040.5133837,3455.54227682,BENIGN
synthetic-flow-00000025,10.42.9.26,172.18.1.35,2026-01-05 13:25:55,period-1,none,115034.69772413735,7,9,859.297603619,816.302703725,122.756800517,90.7003004139,14566.0425984,139.088469101,7189.66860776,3,3,1.28571428571,104.725019209,58402.6654678,28991.7901399, BENIGN
synthetic-flow-00000026,10.42.10.27,172.18.2.36,2026-01-05 14:26:02,period-1,none,56231.0511090448,3,2,394.310548414,108.992749418,131.436849471,54.4963747091,8950.6293748,88.9188429059,11246.2102218,0,0,0.666666666667,100.660659567,24954.9972538,13415.7495028,BENIGN
synthetic-flow-00000027,10.42.11.28,172.18.3.37,2026-01-05 15:27:09,period-1,none,73729.40748175186,15,1,1872.45540523,157.701113933,124.830360349,157.701113933,27535.2344269,217.009746131,4608.08796761,0,3,0.0666666666667,126.884782448,46884.3250301,17986.6354463,BENIGN
synthetic-flow-00000028,10.42.12.29,172.18.4.38,2026-01-05 16:28:16,period-1,none,46309.9601914943,11,2,960.230799284,270.752095044,87.2937090258,135.376047522,26581.3852838,280.717149102,3562.30463011,0,2,0.181818181818,94.6909918713,23086.3018165,9407.70256279,BENIGN
synthetic-flow-00000029,10.42.13.30,172.18.5.39,2026-01-05 17:29:23,period-1,none,155378.98580356673,5,0,678.957788254,0,135.791557651,0,4369.68863416,32.1793836801,31075.7971607,2,3,0,135.791557651,44874.9331052,35192.5921102,BENIGN
synthetic-flow-00000030,10.42.14.31,172.18.6.40,2026-01-05 08:30:30,period-1,none,26031.648061787848,9,3,1059.66727849,652.110878014,117.740808721,217.370292671,65757.5790991,460.977344635,2169.30400515,3,3,0.333333333333,142.648179709,15410.2765694,4503.03935121, BENIGN
synthetic-flow-00000031,10.42.15.32,172.18.7.41,2026-01-05 09:31:37,period-1,none,17937.825823167997,7,5,890.448943804,425.509965839,127.206991972,85.1019931677,73362.2303291,668.977395494,1494.8188186,0,4,0.714285714286,109.66324247,5934.08640772,1595.24337782,BENIGN
synthetic-flow-00000032,10.42.0.33,172.18.0.42,2026-01-05 10:32:44,period-1,none,48066.21663374151,9,6,466.076276731,475.503454501,51.7862529701,79.2505757501,19589.2208119,312.06949601,3204.41444225,1,7,0.666666666667,62.7719820821,27279.4460725,4153.85312427,BENIGN
synthetic-flow-00000033,10.42.1.34,172.18.1.43,2026-01-05 11:33:51,period-1,none,11668.694809159526,3,9,230.626726568,742.220634856,76.8755755227,82.4689594285,83372.423166,1028.39265199,972.391234097,1,2,3,81.070613452,5714.21038336,1491.07854778,BENIGN
synthetic-flow-00000034,10.42.2.35,172.18.2.44,2026-01-05 12:34:58,period-1,none,18945.005651663403,8,6,829.820514628,434.539516001,103.727564328,72.4232526668,66738.4351251,738.981041094,1353.2146894,1,5,0.75,90.3114307592,6934.5791475,4270.82952451,BENIGN
synthetic-flow-00000035,10.42.3.36,172.18.3.45,2026-01-05 13:35:05,period-1,none,17096.445815085986,9,0,908.082146143,0,100.898016238,0,53115.2589237,526.425205411,1899.60509057,1,0,0,100.898016238,9776.46013038,3619.67960389, BENIGN
synthetic-flow-00000036,10.42.4.37,172.18.4.46,2026-01-05 14:36:12,period-1,none,5847.714363554611,16,10,2276.80707631,1696.42109578,142.300442269,169.642109578,679449.76876,4446.18159909,224.912090906,1,3,0.625,152.816468157,3093.13803844,881.894767301,BENIGN
synthetic-flow-00000037,10.42.5.38,172.18.5.47,2026-01-05 15:37:19,period-1,none,13191.61216023392,7,11,1390.91600793,691.333950429,198.702286848,62.8485409481,157846.511334,1364.50342698,732.867342235,0,8,1.57142857143,115.680553242,5429.82623974,1440.58539926,BENIGN
synthetic-flow-00000038,10.42.6.39,172.18.6.48,2026-01-05 16:38:26,period-1,none,20917.165587282412,11,8,1318.51347146,815.958512876,119.864861042,101.99481411,102044.035337,908.344867316,1100.90345196,3,5,0.727272727273,112.340630755,11040.2435444,2308.28330493,BENIGN
synthetic-flow-00000039,10.42.7.40,172.18.7.49,2026-01-05 17:39:33,period-1,scanning,34255.72745654773,11,2,1475.19035378,184.312969002,134.10821398,92.156484501,48444.5506198,379.498582142,2635.0559582,0,4,0.181818181818,127.654101753,16363.7316467,7080.08723099,ATTACK
synthetic-flow-00000040,10.42.8.41,172.18.0.50,2026-01-05 08:40:40,period-1,none,28590.8029790731,12,5,1074.36666094,789.042890255,89.5305550784,157.808578051,65175.1387521,594.596801372,1681.81193995,1,6,0.416666666667,109.612326541,9992.24241822,3733.96257144, BENIGN
synthetic-flow-00000041,10.42.9.42,172.18.1.51,2026-01-05 09:41:47,period-1,none,41461.51094056999,29,2,2189.98520432,437.692025851,75.5167311834,218.846012925,63376.3017931,747.681386827,1337.46809486,1,2,0.0689655172414,84.7637816184,23866.4468113,8048.16064472,BENIGN
synthetic-flow-00000042,10.42.10.43,172.18.2.52,2026-01-05 10:42:54,period-1,none,10243.558950563394,16,3,992.830502346,286.941340309,62.0519063966,95.6471134362,124934.297624,1854.8240989,539.134681609,1,4,0.1875,67.3564127713,6508.77578134,1670.61611082,BENIGN
synthetic-flow-00000043,10.42.11.44,172.18.3.53,2026-01-05 11:43:01,period-1,none,31736.54426807118,5,7,453.9477057,760.135686228,90.7895411399,108.590812318,38255.0595828,378.113001171,2644.71202234,0,2,1.4,101.173615994,14685.2053954,4244.87319218,BENIGN
synthetic-flow-00000044,10.42.12.45,172.18.4.54,2026-01-05 12:44:08,period-1,none,36313.73823001494,10,8,2750.34642301,616.985650915,275.034642301,77.1232063643,92728.8744715,495.680171675,2017.42990167,1,2,0.8,187.074004107,17167.8023265,5265.45212645,BENIGN
synthetic-flow-00000045,10.42.13.46,172.18.5.55,2026-01-05 13:45:15,period-1,none,30501.727077253287,7,4,702.127577576,417.545666556,100.303939654,104.386416639,36708.5195306,360.635316556,2772.88427975,0,4,0.571428571429,101.788476739,11086.8458199,4378.79858487, BENIGN
synthetic-flow-00000046,10.42.14.47,172.18.6.56,2026-01-05 14:46:22,period-1,none,60824.52754404179,10,9,1869.65010395,1857.60913797,186.965010395,206.40101533,61278.8852199,312.373984101,3201.29092337,0,1,0.9,196.171539049,25414.360321,15615.8262051,BENIGN
synthetic-flow-00000047,10.42.15.48,172.18.7.57,2026-01-05 15:47:29,period-1,none,16605.402513374556,2,20,354.528825308,1932.90330464,177.264412654,96.6451652318,137752.284421,1324.87002241,754.791023335,1,3,10,103.974187725,9237.93112831,1736.27073793,BENIGN
synthetic-flow-00000048,10.42.0.49,172.18.0.58,2026-01-05 16:48:36,period-1,none,229514.60079240406,11,15,1375.86847376,2098.55299318,125.07895216,139.903532879,15138.1282713,113.282553311,8827.48464586,2,3,1.36363636364,133.631594882,78366.1953161,45114.5712971,BENIGN
synthetic-flow-00000049,10.42.1.50,172.18.1.59,2026-01-05 17:49:43,period-1,none,65157.10185831056,10,2,1074.92630213,368.550614688,107.492630213,184.275307344,22153.792536,184.170254013,5429.75848819,0,3,0.2,120.289743068,41441.5432345,14861.1885744,BENIGN
synthetic-flow-00000050,10.42.2.51,172.18.2.60,2026-01-05 08:50:50,period-1,none,49855.865739473404,4,3,593.43917277,164.706423235,148.359793192,54.9021410784,15206.7481882,140.404742675,7122.26653421,2,3,0.75,108.306513715,20324.8523719,5487.92887971, BENIGN
synthetic-flow-00000051,10.42.3.52,172.18.3.61,2026-01-05 09:51:57,period-1,none,11238.006815213603,6,3,484.664511711,283.329069206,80.7774186186,94.4430230687,68338.9495616,800.853758855,1248.66742391,0,1,0.5,85.3326201019,5904.4343376,1714.26763396,BENIGN
synthetic-flow-00000052,10.42.4.53,172.18.4.62,2026-01-05 10:52:04,period-1,none,69627.78217717043,11,2,977.128970241,196.321026828,88.8299063856,98.1605134138,16853.1864778,186.707081477,5355.9832444,1,1,0.181818181818,90.2653843899,31483.0936555,6313.35963489,BENIGN
synthetic-flow-00000053,10.42.5.54,172.18.5.63,2026-01-05 11:53:11,period-1,none,44036.45092944385,9,4,1477.84166322,504.81670287,164.204629247,126.204175718,45023.1188992,295.209984584,3387.41930226,3,3,0.444444444444,152.512182007,12348.4235059,8803.36085845,BENIGN
synthetic-flow-00000054,10.42.6.55,172.18.6.64,2026-01-05 12:54:18,period-1,none,59028.12972671269,13,9,1084.68756568,1165.14907106,83.4375050526,129.461007895,38114.6522371,372.703660134,2683.09680576,1,2,0.692307692308,102.26530167,32669.2335849,11210.2962819,BENIGN
synthetic-flow-00000055,10.42.7.56,172.18.7.65,2026-01-05 13:55:25,period-1,none,130580.30467977833,9,4,875.398518644,415.110817148,97.2665020716,103.777704287,9882.87888405,99.5555955539,10044.6388215,2,2,0.444444444444,99.2699489071,76689.4803175,26402.6302238, BENIGN
synthetic-flow-00000056,10.42.8.57,172.18.0.66,2026-01-05 14:56:32,period-1,none,27027.80289409723,6,2,962.301321898,68.1042975373,160.38355365,34.0521487686,38123.9134928,295.991502948,3378.47536176,1,1,0.333333333333,128.800702429,15900.9756169,5049.05418646,BENIGN
synthetic-flow-00000057,10.42.9.58,172.18.1.67,2026-01-05 15:57:39,period-1,none,28908.90571164377,2,3,278.8574665,282.75630786,139.42873325,94.2521026199,19427.0160193,172.957082841,5781.78114233,0,2,1.5,112.322754872,14928.6442705,3603.36148538,BENIGN
synthetic-flow-00000058,10.42.10.59,172.18.2.68,2026-01-05 16:58:46,period-1,none,90515.39948492528,10,2,1200.49414664,123.981121391,120.049414664,61.9905606957,14632.5959513,132.574126262,7542.94995708,1,3,0.2,110.372939002,49293.0782583,10039.0263128,BENIGN
synthetic-flow-00000059,10.42.11.60,172.18.3.69,2026-01-05 17:59:53,period-1,none,15335.988480721182,14,7,1618.32825279,742.681273746,115.594875199,106.097324821,153952.223523,1369.32810209,730.285165749,1,4,0.5,112.429025073,6523.61639208,1236.90215217,BENIGN
synthetic-flow-00000060,10.42.12.61,172.18.4.70,2026-01-05 08:00:00,period-1,web-exploitation,15827.661077373716,15,7,3385.93144629,871.948945048,225.728763086,124.564135007,269015.135624,1389.97163842,719.439139881,2,4,0.466666666667,193.540017788,9676.05525078,3020.44853635, ATTACK
synthetic-flow-00000061,10.42.13.62,172.18.5.71,2026-01-05 09:01:07,period-1,none,136449.28846009276,4,2,434.121352212,64.160110288,108.530338053,32.080055144,3651.77032525,43.9723802719,22741.5480767,2,2,0.5,83.0469104166,80641.1936903,30989.8384141,BENIGN
synthetic-flow-00000062,10.42.14.63,172.18.6.72,2026-01-05 10:02:14,period-1,none,32599.665031770277,4,6,330.296006432,951.048774689,82.5740016081,158.508129115,39305.4585031,306.751618161,3259.96650318,0,7,1.5,128.134478112,19603.3492043,3066.66224388,BENIGN
synthetic-flow-00000063,10.42.15.64,172.18.7.73,2026-01-05 11:03:21,period-1,denial-of-service,101076.1997644941,14,3,1421.2807414,443.499171937,101.520052957,147.833057312,18449.2483659,168.189940259,5945.65880968,1,6,0.214285714286,109.692936079,42587.6568237,23368.9562123,ATTACK
synthetic-flow-00000064,10.42.0.65,172.18.0.74,2026-01-05 12:04:28,period-1,none,127564.947977298,9,3,660.165344806,247.430862988,73.3517049785,82.4769543294,7114.77739133,94.0697283249,10630.4123314,0,1,0.333333333333,75.6330173162,47953.8380453,17331.2536156,BENIGN
synthetic-flow-00000065,10.42.1.66,172.18.1.75,2026-01-05 13:05:35,period-1,none,31807.474044905,22,6,1992.6429038,762.79531671,90.5746774453,127.132552785,86628.6400679,880.296246111,1135.98121589,1,3,0.272727272727,98.4085078752,15372.7371547,7077.68100749, BENIGN
synthetic-flow-00000066,10.42.2.67,172.18.2.76,2026-01-05 14:06:42,period-1,none,73226.47259977595,6,5,343.349458615,478.19387162,57.2249097691,95.638774324,11219.2121383,150.218897749,6656.95205453,0,3,0.833333333333,74.6857572941,30796.0943126,8872.71764324,BENIGN
synthetic-flow-00000067,10.42.3.68,172.18.3.77,2026-01-05 15:07:49,period-1,none,20229.65302931551,14,1,2575.80261785,130.436202169,183.985901275,130.436202169,133775.839659,741.485777253,1348.64353529,0,6,0.0714285714286,180.415921334,12112.1033514,2382.43986818,BENIGN
synthetic-flow-00000068,10.42.4.69,172.18.4.78,2026-01-05 16:08:56,period-1,none,45136.69275842791,8,2,646.794380041,278.192625267,80.8492975051,139.096312633,20493.0168512,221.549240515,4513.66927584,1,5,0.25,92.4987005307,23706.4412172,7268.74782893,BENIGN
synthetic-flow-00000069,10.42.5.70,172.18.5.79,2026-01-05 17:09:03,period-1,none,54313.02466743536,7,3,840.891345994,523.99891833,120.127335142,174.66630611,25130.0728082,184.117899182,5431.30246674,0,3,0.428571428571,136.489026432,30137.5454808,8636.95515326,BENIGN
synthetic-flow-00000070,10.42.6.71,172.18.6.80,2026-01-05 08:10:10,period-1,none,57813.26951205647,7,8,1037.03185394,1003.38151642,148.147407706,125.422689553,35293.1669076,259.456005976,3854.21796747,0,4,1.14285714286,136.027558024,27520.4371378,9354.26802223, BENIGN
synthetic-flow-00000071,10.42.7.72,172.18.7.81,2026-01-05 09:11:17,period-1,scanning,49515.840023248704,6,16,796.341420412,1640.31640839,132.723570069,102.519775524,49209.6635674,444.30226751,2250.72000106,5,5,2.66666666667,110.757174036,22056.8753898,11841.3142286,ATTACK
synthetic-flow-00000072,10.42.8.73,172.18.0.82,2026-01-05 10:12:24,period-1,none,64966.75300503245,7,7,1779.70917331,763.574706819,254.244167616,109.082100974,39147.4679354,215.494839321,4640.4823575,1,0,1,181.663134295,40312.9796048,10517.2333843,BENIGN
synthetic-flow-00000073,10.42.9.74,172.18.1.83,2026-01-05 11:13:31,period-1,none,15358.789220706212,4,2,372.614192325,150.076330981,93.1535480812,75.0381654905,34032.0135783,390.655794137,2559.79820345,0,3,0.5,87.1150872176,7659.46810544,3917.86342379,BENIGN
synthetic-flow-00000074,10.42.10.75,172.18.2.84,2026-01-05 12:14:38,period-1,none,39353.70661690541,6,4,875.977664695,259.607934129,145.996277449,64.9019835322,28855.873981,254.105670334,3935.37066169,1,1,0.666666666667,113.558559882,11863.6099023,9439.28177692,BENIGN
synthetic-flow-00000075,10.42.11.76,172.18.3.85,2026-01-05 13:15:45,period-1,none,45770.988952688,12,5,1203.94212817,508.788265066,100.328510681,101.757653013,37419.5627498,371.414303885,2692.41111486,1,0,0.416666666667,100.748846661,20444.484238,9016.16441642, BENIGN
synthetic-flow-00000076,10.42.12.77,172.18.4.86,2026-01-05 14:16:52,period-1,none,85104.55661551924,4,3,724.281630261,510.370660671,181.070407565,170.123553557,14507.4757455,82.2517651038,12157.7938022,3,3,0.75,176.378898704,30747.0131114,12204.1608713,BENIGN
synthetic-flow-00000077,10.42.13.78,172.18.5.87,2026-01-05 15:17:59,period-1,none,20106.222038578948,5,1,379.360479938,164.269622617,75.8720959876,164.269622617,27037.9040633,298.415087056,3351.03700643,1,4,0.2,90.6050170925,8248.19937931,3739.90235923,BENIGN
synthetic-flow-00000078,10.42.14.79,172.18.6.88,2026-01-05 16:18:06,period-1,none,68946.48474023338,5,5,722.300664284,325.080000653,144.460132857,65.0160001305,15191.2119796,145.04002688,6894.64847402,1,5,1,104.738066494,38746.3926035,12213.5102128,BENIGN
synthetic-flow-00000079,10.42.15.80,172.18.7.89,2026-01-05 17:19:13,period-1,none,17658.36925165748,10,3,769.169459822,343.938994196,76.9169459822,114.646331399,63035.7445897,736.194821545,1358.33609628,1,2,0.3,85.6237272322,10653.6882937,1531.29492975,BENIGN
synthetic-flow-00000080,10.42.0.81,172.18.0.90,2026-01-05 08:20:20,period-1,denial-of-service,25579.572468086513,18,4,2330.38368334,198.236739014,129.465760186,49.5591847536,98853.1151376,860.061286304,1162.70783946,0,5,0.222222222222,114.937291925,15217.8252925,6292.6655707, ATTACK
synthetic-flow-00000081,10.42.1.82,172.18.1.91,2026-01-05 09:21:27,period-1,none,18762.92449622614,9,7,599.358947197,629.969340591,66.5954385775,89.9956200844,65519.0126697,852.745530326,1172.68278101,0,3,0.777777777778,76.8330179868,11264.9903793,3866.32491686,BENIGN
synthetic-flow-00000082,10.42.2.83,172.18.2.92,2026-01-05 10:22:34,period-1,none,127204.25817624615,12,7,1631.4786281,721.627656509,135.956552341,103.089665216,18498.6439789,149.36606897,6694.96095664,1,4,0.583333333333,123.84769919,48345.691617,13944.8308129,BENIGN
synthetic-flow-00000083,10.42.3.84,172.18.3.93,2026-01-05 11:23:41,period-1,none,93267.13779239627,11,8,2729.88687883,355.26733712,248.171534439,44.40841714,33078.6844002,203.715911625,4908.79672592,1,5,0.727272727273,162.376537682,51853.3003672,8334.95575223,BENIGN
synthetic-flow-00000084,10.42.4.85,172.18.4.94,2026-01-05 12:24:48,period-1,none,39420.236963767995,12,8,3577.69598326,1318.80881594,298.141331938,164.851101993,124212.972228,507.353621907,1971.01184819,0,4,0.666666666667,244.82523996,14370.3076519,6321.58043664,BENIGN
synthetic-flow-00000085,10.42.5.86,172.18.5.95,2026-01-05 13:25:55,period-1,none,16071.593248903624,11,2,780.677053685,267.09496412,70.9706412441,133.54748206,65194.035313,808.880600614,1236.27640376,1,2,0.181818181818,80.5978475234,7326.2088307,3192.01828687, BENIGN
synthetic-flow-00000086,10.42.6.87,172.18.6.96,2026-01-05 14:26:02,period-1,none,15803.493548733399,9,4,536.424809966,335.034500086,59.6027566628,83.7586250216,55143.4597271,822.602923835,1215.6533499,0,2,0.444444444444,67.0353315424,5983.20539146,1429.04189412,BENIGN
synthetic-flow-00000087,10.42.7.88,172.18.7.97,2026-01-05 15:27:09,period-1,none,13926.241159743571,3,5,489.175876764,440.825001984,163.058625588,88.1650003968,66780.4663211,574.455081471,1740.78014497,0,4,1.66666666667,116.250109844,3985.09998227,3313.15368562,BENIGN
synthetic-flow-00000088,10.42.8.89,172.18.0.98,2026-01-05 16:28:16,period-1,none,253634.74932333705,4,16,447.180696024,2098.54927522,111.795174006,131.159329702,10036.9920842,78.8535484722,12681.7374662,1,2,4,127.286498562,89406.4322507,28030.506069,BENIGN
synthetic-flow-00000089,10.42.9.90,172.18.1.99,2026-01-05 17:29:23,period-1,none,23522.258306864926,21,2,1718.40267634,103.911616776,81.8286988734,51.9558083878,77471.9106195,977.797271841,1022.70688291,1,5,0.0952380952381,79.2310562225,9905.36897331,3588.19421598,BENIGN
synthetic-flow-00000090,10.42.10.91,172.18.2.100,2026-01-05 08:30:30,period-1,none,11158.5992799196,7,6,917.457773511,606.846059673,131.065396216,101.141009945,136603.510436,1165.0207767,858.353790763,0,2,0.857142857143,117.254141014,3805.23801551,2265.71541034, BENIGN
synthetic-flow-00000091,10.42.11.92,172.18.3.101,2026-01-05 09:31:37,period-1,none,58542.0727555929,7,17,1030.05192596,2535.15219689,147.150275137,149.126599817,60899.8615018,409.96156901,2439.25303148,0,1,2.42857142857,148.550171785,35295.5269389,11162.2925245,BENIGN
synthetic-flow-00000092,10.42.12.93,172.18.4.102,2026-01-05 10:32:44,period-1,none,30474.20062200586,5,3,502.69591908,351.946851269,100.539183816,117.31561709,28044.7970055,262.517140293,3809.27507775,0,3,0.6,106.830346294,9314.62853657,5805.52011654,BENIGN
synthetic-flow-00000093,10.42.13.94,172.18.5.103,2026-01-05 11:33:51,period-1,none,142280.07592458278,8,5,751.971879161,610.101724573,93.9964848951,122.020344915,9573.18580892,91.3690825333,10944.621225,1,3,0.625,104.774892595,70823.8397769,36440.4386205,BENIGN
synthetic-flow-00000094,10.42.14.95,172.18.6.104,2026-01-05 12:34:58,period-1,none,141065.33579022367,6,11,650.746213862,566.101482098,108.45770231,51.4637710998,8626.12837621,120.511533927,8297.96092884,1,1,1.83333333333,71.5792762329,43553.9080009,30133.8953532,BENIGN
synthetic-flow-00000095,10.42.15.96,172.18.7.105,2026-01-05 13:35:05,period-1,scanning,72882.72716081562,16,3,2412.08136522,256.680912381,150.755085326,85.5603041271,36617.2120826,260.692769606,3835.93300846,1,2,0.1875,140.461172505,43169.8617711,16032.9487738, ATTACK
synthetic-flow-00000096,10.42.0.97,172.18.0.106,2026-01-05 14:36:12,period-1,none,39245.202223844884,12,1,1074.66024422,46.3357970601,89.5550203513,46.3357970601,28563.9002414,331.250681952,3018.86170953,0,4,0.0833333333333,86.2304647135,21990.0206087,4188.37296127,BENIGN
